Comune;Provincia;Nome italiano rifugio;Nome tedesco rifugio;Altitudine in metri;Propriet�;Telefono;E-Mail;Internet;Gruppo;miovalore                                                          
AVELENGO;BOLZANO;Merano;Meraner-H�tte;1940;AVS;0473-279405;info@meranerhuette.it;www.meranerhuette.it;Monti Sarentini;12                                                                     
BADIA;BOLZANO;Gardenaccia;Gardenazza-H�tte;2045;Privato;0471-840128;info@gardenacia.it;www.gardenacia.it;Odle - Puez - Sella;13                                                              
BADIA;BOLZANO;Santa Croce;Heilgkreuz;2045;Privato;0471-839632;s.croce@rolmail.net;www.lacrusc.com;Fanes - Sennes;14                                                                          
BADIA;BOLZANO;Scotoni;Scotoni-H�tte;1985;Privato;0471-847330;info@scotoni.it;www.scotoni.it;Fanes - Sennes;18                                                                                
BARBIANO;BOLZANO;Corno Renon;Rittner-Horn-Haus;2259;C.A.I.;0471-356207;;;Monti Sarentini;20                                                                                                  
BRAIES;BOLZANO;Vallandro;D�rrensteinh�tte;2040;Privato;0474-972505;info@vallandro.it;www.vallandro.it;Fanes - Sennes;10                                                                      
BRENNERO;BOLZANO;Calciati al Tribulaun;Tribulaun-H�tte;2368;C.A.I.;0472-632470;info@tribulaunhuette.com;www.tribulaunhuette.com;Sesvenna - Alpi Venoste e Stubai - Tessa;17                  
BRENNERO;BOLZANO;Cima Gallina;H�hnerspiel-H�tte;1868;Privato;335-5666181;info@huehnerspielhuette;www.huehnerspielhuette.it;Alpi Aurine - Vedrette di Ries;10                                 
BRENNERO;BOLZANO;Cremona alla Stua;Magdeburger-H�tte;2423;C.A.I.;0472-632472;;www.13rifugi.com;Sesvenna - Alpi Venoste e Stubai - Tessa;10                                                   
BRENNERO;BOLZANO;Genziana;Enzian-H�tte;1894;Privato;0472-631224;;;Alpi Aurine - Vedrette di Ries;10                                                                                          
BRESSANONE;BOLZANO;Plose;Plose-H�tte;2446;C.A.I.;0472-521333;plosehuette@dnet.it;www.plosehuette.com;Odle - Puez - Sella;20                                                                  
BRESSANONE;BOLZANO;Schatzer;Schatzer-H�tte;2004;Privato;0472-521343;;www.schatzerhuette.com;Odle - Puez - Sella;15                                                                           
CAMPO DI TRENS;BOLZANO;Simile Mahd;Simile-Mahd-Alm-H�tte;2011;Privato;0472-647162;;;Alpi Aurine - Vedrette di Ries;17                                                                        
CAMPO TURES;BOLZANO;Roma;Kasseler-H�tte;2276;Provincia Autonoma di Bolzano;0474-672550;info@kasseler-huette.com;www.kasseler-huette.com;Alpi Aurine - Vedrette di Ries;12                    
CASTELROTTO;BOLZANO;Bullaccia;Puflatsch-H�tte;1950;Privato;0471-729090;info@dibaita-puflatschhuette.com;www.dibaita-puflatschhuette.com;Catinaccio - Sciliar - Sassolungo;13                 
CASTELROTTO;BOLZANO;Mahlknecht;Mahlknecht-H�tte;2054;Privato;0471-727912;info@mahlknechthuette.com;www.mahlknechthuette.com;Catinaccio - Sciliar - Sassolungo;12                             
CASTELROTTO;BOLZANO;Schlernb�dele;Schlernb�dele-H�tte;1700;AVS;0471-705345;;www.schlernboedelehuette.it;Catinaccio - Sciliar - Sassolungo;10                                                 
CHIUSA;BOLZANO;Chiusa;Klausner-H�tte;1923;C.A.I.;0472-545194;ramoser.robert@gmail.com;www.klausnerhuette.it;Monti Sarentini;20                                                               
CHIUSA;BOLZANO;Santa Croce;Latzfonser-Kreuz-H�tte;2302;Privato;0472-545017;info@latzfonserkreuz.com;www.latzfonserkreuz.com;Monti Sarentini;12                                               
CORVARA IN BADIA;BOLZANO;Cavazza al Pisciad�;Pisciad�-H�tte;2585;C.A.I.;0471-836292;;;Odle - Puez - Sella;14                                                                                 
CORVARA IN BADIA;BOLZANO;Cr�p de Munt;Cr�p-de-Munt-H�tte;1959;Privato;349-0842885;info@crepdemunt;www.crepdemunt.it;Odle - Puez - Sella;13                                                   
CORVARA IN BADIA;BOLZANO;Franz Kostner al Vallon;Franz-Kostner-H�tte;2550;C.A.I.;333-8759838;info@rifugiokostner.it;www.rifugiokostner.it;Odle - Puez - Sella;18                             
CORVARA IN BADIA;BOLZANO;Puez;Puez-H�tte;2475;C.A.I.;0471-795365;info@rifugiopuez.it;www.rifugiopuez.it;Odle - Puez - Sella;16                                                               
CURON VENOSTA;BOLZANO;Pio XI;Wei�kugel-H�tte;2542;Provincia Autonoma di Bolzano;0473-633191;info@weisskugel.it;www.weisskugel.it;Sesvenna - Alpi Venoste e Stubai - Tessa;12                 
DOBBIACO;BOLZANO;A. Locatelli - S. Innerkofler;Drei-Zinnen-H�tte;2405;C.A.I.;0474-972002;dreizinnenhuette@rolmail.net;www.dreizinnenhuette.com;Dolomiti di Sesto;19                          
DOBBIACO;BOLZANO;Bonner;Bonnerh�tte;2340;Comune Dobbiaco;340-9428264;info@bonnerhuette.it;www.bonnerhuette.it;Dolomiti di Sesto;15                                                           
FIE' ALLO SCILIAR;BOLZANO;Bolzano al Monte Pez;Schlernhaus;2450;C.A.I.;0471-612024;info@schlernhaus.it;www.schlernhaus.it;Catinaccio - Sciliar - Sassolungo;19                               
FORTEZZA;BOLZANO;Puntleider-Alm-H�tte;Malga Pontelletto;1777;Privato;349-6442391;;;Monti Sarentini;15                                                                                        
FUNES;BOLZANO;Genova;Schl�ter-H�tte;2297;Provincia Autonoma di Bolzano;0472-840132;info@schlueterhuette.com;www.schlueterhuette.com;Odle - Puez - Sella;16                                   
FUNES;BOLZANO;Malga Brogles;Brogles-H�tte;2045;Privato;0471-655642;;;Odle - Puez - Sella;14                                                                                                  
LUSON;BOLZANO;Prato Croce;Kreuzwiese-H�tte;1924;Privato;0472-413714;info@kreuzwiesenalm.com;www.kreuzwiesenalm.com;Odle - Puez - Sella;13                                                    
MALLES VENOSTA;BOLZANO;Oberettes;Oberettes-H�tte;2670;AVS;0473-830280;info@oberettes.it;www.oberettes.it;Sesvenna - Alpi Venoste e Stubai - Tessa;13                                         
